temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
11.5,75.9,13.4,23.7,2170-12-10,Zone 1,0.53,181.72,762.5,['aucun']
11.5,75.9,13.4,23.7,2170-12-10,Zone 3,0.34,167.93,256.51,['innondation']
7.6,59.9,6.5,11.1,2171-12-10,Zone 2,0.72,241.66,887.1,"['innondation', 'seisme']"
7.6,59.9,6.5,11.1,2171-12-10,Zone 1,0.94,292.94,637.81,['seisme']
7.6,59.9,6.5,11.1,2171-12-10,Zone 3,0.6,167.96,55.89,['innondation']
12.8,66.3,11.0,16.9,2170-02-10,Zone 2,0.81,183.65,219.02,['innondation']
12.8,66.3,11.0,16.9,2170-02-10,Zone 1,0.53,254.49,591.5,['aucun']
12.8,66.3,11.0,16.9,2170-02-10,Zone 3,0.58,171.6,659.51,['innondation']
14.0,64.7,3.1,3.5,2171-02-10,Zone 2,0.64,157.34,203.18,['innondation']
14.0,64.7,3.1,3.5,2171-02-10,Zone 1,0.69,277.96,644.89,['seisme']
14.0,64.7,3.1,3.5,2171-02-10,Zone 3,0.57,196.6,779.03,['innondation']
15.7,56.2,3.2,4.1,2170-03-10,Zone 2,1.0,152.92,228.0,['innondation']
15.7,56.2,3.2,4.1,2170-03-10,Zone 1,0.59,240.78,55.96,['aucun']
15.7,56.2,3.2,4.1,2170-03-10,Zone 3,0.36,124.0,183.29,['aucun']
21.9,56.9,7.6,17.8,2171-03-10,Zone 2,0.72,270.43,238.41,"['innondation', 'seisme']"
21.9,56.9,7.6,17.8,2171-03-10,Zone 1,1.0,191.53,660.78,['aucun']
21.9,56.9,7.6,17.8,2171-03-10,Zone 3,0.52,180.68,375.92,['innondation']
19.6,57.2,8.3,21.6,2170-04-10,Zone 2,0.65,237.45,831.52,['aucun']
19.6,57.2,8.3,21.6,2170-04-10,Zone 1,0.64,152.67,626.99,['aucun']
19.6,57.2,8.3,21.6,2170-04-10,Zone 3,0.68,171.93,404.84,['innondation']
23.1,43.9,9.2,21.6,2171-04-10,Zone 2,0.52,282.86,823.35,['aucun']
23.1,43.9,9.2,21.6,2171-04-10,Zone 1,0.71,203.75,403.51,['seisme']
23.1,43.9,9.2,21.6,2171-04-10,Zone 3,0.48,105.17,396.91,['innondation']
21.9,56.3,6.2,9.7,2170-05-10,Zone 2,0.78,183.22,851.89,['aucun']
21.9,56.3,6.2,9.7,2170-05-10,Zone 1,1.0,288.5,249.25,['seisme']
21.9,56.3,6.2,9.7,2170-05-10,Zone 3,0.43,163.75,31.69,['innondation']
29.6,49.4,4.0,6.3,2171-05-10,Zone 2,0.71,175.79,177.22,['innondation']
29.6,49.4,4.0,6.3,2171-05-10,Zone 1,0.66,246.5,657.77,['aucun']
29.6,49.4,4.0,6.3,2171-05-10,Zone 3,0.52,148.22,667.33,['innondation']
35.8,40.9,3.2,9.6,2170-06-10,Zone 2,0.9,267.67,309.28,"['innondation', 'seisme']"
35.8,40.9,3.2,9.6,2170-06-10,Zone 1,0.96,194.49,388.56,['aucun']
35.8,40.9,3.2,9.6,2170-06-10,Zone 3,0.45,192.24,454.63,['innondation']
34.9,37.0,2.9,6.6,2171-06-10,Zone 2,0.75,211.08,145.12,"['innondation', 'seisme']"
34.9,37.0,2.9,6.6,2171-06-10,Zone 1,0.85,150.16,157.76,['aucun']
34.9,37.0,2.9,6.6,2171-06-10,Zone 3,0.31,165.87,546.28,['innondation']
32.1,44.3,6.6,11.5,2170-07-10,Zone 2,0.73,153.15,776.89,['innondation']
32.1,44.3,6.6,11.5,2170-07-10,Zone 1,0.79,282.53,523.0,['aucun']
32.1,44.3,6.6,11.5,2170-07-10,Zone 3,0.64,109.75,92.52,['innondation']
40.0,31.6,2.5,6.6,2171-07-10,Zone 2,0.93,192.75,875.49,['innondation']
40.0,31.6,2.5,6.6,2171-07-10,Zone 1,0.53,151.85,314.73,['aucun']
40.0,31.6,2.5,6.6,2171-07-10,Zone 3,0.45,122.78,165.9,['aucun']
46.3,21.4,3.8,10.3,2171-08-10,Zone 2,0.63,226.81,590.88,"['innondation', 'seisme']"
46.3,21.4,3.8,10.3,2171-08-10,Zone 1,0.91,157.17,653.76,['aucun']
46.3,21.4,3.8,10.3,2171-08-10,Zone 3,0.39,115.98,400.7,['innondation']
36.0,49.9,2.8,5.3,2171-09-10,Zone 2,0.76,153.73,423.28,['innondation']
36.0,49.9,2.8,5.3,2171-09-10,Zone 1,0.53,158.25,114.7,['aucun']
36.0,49.9,2.8,5.3,2171-09-10,Zone 3,0.57,141.0,687.24,['innondation']
6.4,69.4,7.3,12.9,2170-01-11,Zone 2,0.85,151.32,112.31,['aucun']
6.4,69.4,7.3,12.9,2170-01-11,Zone 1,0.96,298.06,162.92,['seisme']
6.4,69.4,7.3,12.9,2170-01-11,Zone 3,0.49,153.48,467.47,['innondation']
13.7,60.2,7.8,10.8,2171-01-11,Zone 2,0.63,178.72,630.39,['innondation']
13.7,60.2,7.8,10.8,2171-01-11,Zone 1,0.99,272.34,550.24,['seisme']
13.7,60.2,7.8,10.8,2171-01-11,Zone 3,0.46,155.85,651.47,['innondation']
19.0,58.7,3.6,5.6,2170-10-11,Zone 2,0.94,294.85,384.25,['aucun']
19.0,58.7,3.6,5.6,2170-10-11,Zone 1,0.62,295.52,392.09,['seisme']
19.0,58.7,3.6,5.6,2170-10-11,Zone 3,0.59,104.21,682.07,['innondation']
25.6,64.2,2.9,3.2,2171-10-11,Zone 2,0.76,164.16,940.24,['aucun']
25.6,64.2,2.9,3.2,2171-10-11,Zone 1,0.63,193.93,7.67,['aucun']
25.6,64.2,2.9,3.2,2171-10-11,Zone 3,0.5,170.47,386.41,['aucun']
19.2,76.1,2.6,2.8,2170-11-11,Zone 2,0.75,263.04,291.45,"['innondation', 'seisme']"
19.2,76.1,2.6,2.8,2170-11-11,Zone 1,0.83,241.75,397.04,['seisme']
19.2,76.1,2.6,2.8,2170-11-11,Zone 3,0.52,193.65,821.54,['aucun']
25.8,67.0,6.3,20.7,2171-11-11,Zone 2,0.71,290.04,305.56,"['innondation', 'seisme']"
25.8,67.0,6.3,20.7,2171-11-11,Zone 1,0.76,161.52,671.2,['aucun']
25.8,67.0,6.3,20.7,2171-11-11,Zone 3,0.42,198.8,661.41,['innondation']
13.0,64.9,3.1,3.1,2170-12-11,Zone 2,0.76,262.11,273.11,['seisme']
13.0,64.9,3.1,3.1,2170-12-11,Zone 1,0.88,153.54,9.43,['aucun']
13.0,64.9,3.1,3.1,2170-12-11,Zone 3,0.65,129.17,526.96,['innondation']
5.4,60.7,3.2,2.5,2171-12-11,Zone 2,0.7,286.98,262.25,"['innondation', 'seisme']"
5.4,60.7,3.2,2.5,2171-12-11,Zone 1,0.84,216.7,492.64,['aucun']
5.4,60.7,3.2,2.5,2171-12-11,Zone 3,0.48,111.35,907.78,['innondation']
16.5,68.9,4.2,6.5,2171-02-11,Zone 2,0.84,289.81,717.94,['seisme']
16.5,68.9,4.2,6.5,2171-02-11,Zone 1,0.55,291.7,90.11,['aucun']
16.5,68.9,4.2,6.5,2171-02-11,Zone 3,0.69,122.39,505.03,['aucun']
23.0,54.5,6.5,15.0,2170-03-11,Zone 2,0.7,246.6,888.53,"['innondation', 'seisme']"
23.0,54.5,6.5,15.0,2170-03-11,Zone 1,0.59,252.63,640.41,['aucun']
23.0,54.5,6.5,15.0,2170-03-11,Zone 3,0.46,120.52,997.41,['innondation']
19.6,57.9,10.1,23.2,2171-03-11,Zone 2,0.7,230.42,185.32,['aucun']
19.6,57.9,10.1,23.2,2171-03-11,Zone 1,0.63,230.07,558.09,['seisme']
19.6,57.9,10.1,23.2,2171-03-11,Zone 3,0.69,118.25,312.93,['innondation']
11.6,64.6,9.5,16.8,2170-04-11,Zone 2,0.57,250.86,5.0,['innondation']
11.6,64.6,9.5,16.8,2170-04-11,Zone 1,0.83,173.38,329.82,['aucun']
11.6,64.6,9.5,16.8,2170-04-11,Zone 3,0.63,165.22,423.02,['innondation']
23.2,60.3,14.2,35.5,2171-04-11,Zone 2,0.95,228.37,467.59,['aucun']
23.2,60.3,14.2,35.5,2171-04-11,Zone 1,0.57,225.2,550.86,['aucun']
23.2,60.3,14.2,35.5,2171-04-11,Zone 3,0.62,159.98,924.68,['aucun']
15.3,59.8,9.8,16.7,2170-05-11,Zone 2,0.76,279.34,803.82,['aucun']
15.3,59.8,9.8,16.7,2170-05-11,Zone 1,0.92,293.22,680.01,['seisme']
15.3,59.8,9.8,16.7,2170-05-11,Zone 3,0.53,137.85,881.95,['innondation']
29.5,35.7,5.2,13.3,2171-05-11,Zone 2,0.91,206.89,882.37,"['innondation', 'seisme']"
29.5,35.7,5.2,13.3,2171-05-11,Zone 1,0.59,186.77,103.2,['aucun']
29.5,35.7,5.2,13.3,2171-05-11,Zone 3,0.51,139.85,334.66,['aucun']
35.8,42.9,4.7,11.7,2170-06-11,Zone 2,0.74,191.0,373.65,['innondation']
35.8,42.9,4.7,11.7,2170-06-11,Zone 1,0.59,200.57,272.84,['aucun']
35.8,42.9,4.7,11.7,2170-06-11,Zone 3,0.63,171.96,692.17,['innondation']
39.9,35.0,2.9,7.0,2171-06-11,Zone 2,0.92,242.31,172.39,['aucun']
39.9,35.0,2.9,7.0,2171-06-11,Zone 1,0.52,175.9,498.68,['aucun']
39.9,35.0,2.9,7.0,2171-06-11,Zone 3,0.36,111.07,245.82,['innondation']
36.8,44.1,3.7,9.1,2170-07-11,Zone 2,0.77,252.23,333.47,['aucun']
36.8,44.1,3.7,9.1,2170-07-11,Zone 1,0.67,198.09,10.27,['aucun']
36.8,44.1,3.7,9.1,2170-07-11,Zone 3,0.63,131.13,449.74,['innondation']
43.2,32.6,2.5,6.6,2171-07-11,Zone 2,0.82,180.32,451.97,['innondation']
43.2,32.6,2.5,6.6,2171-07-11,Zone 1,0.76,226.36,771.27,['seisme']
43.2,32.6,2.5,6.6,2171-07-11,Zone 3,0.37,150.39,104.23,['innondation']
44.4,36.9,3.6,11.3,2171-08-11,Zone 2,0.84,296.81,486.35,['aucun']
44.4,36.9,3.6,11.3,2171-08-11,Zone 1,0.6,168.93,156.04,['aucun']
44.4,36.9,3.6,11.3,2171-08-11,Zone 3,0.49,164.38,281.26,['innondation']
42.9,33.6,3.1,9.9,2171-09-11,Zone 2,0.6,164.51,545.14,['aucun']
42.9,33.6,3.1,9.9,2171-09-11,Zone 1,0.61,154.68,316.24,['aucun']
42.9,33.6,3.1,9.9,2171-09-11,Zone 3,0.64,175.62,117.13,['aucun']
12.0,59.7,8.3,14.4,2170-01-12,Zone 2,0.66,163.64,338.28,['innondation']
12.0,59.7,8.3,14.4,2170-01-12,Zone 1,0.98,255.88,347.93,['seisme']
12.0,59.7,8.3,14.4,2170-01-12,Zone 3,0.53,134.69,850.15,['innondation']
8.4,67.7,4.4,5.6,2171-01-12,Zone 2,0.9,151.61,273.27,['innondation']
8.4,67.7,4.4,5.6,2171-01-12,Zone 1,0.92,297.38,27.18,['seisme']
8.4,67.7,4.4,5.6,2171-01-12,Zone 3,0.57,112.28,209.59,['innondation']
23.5,51.2,5.7,8.0,2170-10-12,Zone 2,0.85,164.9,49.68,['aucun']
23.5,51.2,5.7,8.0,2170-10-12,Zone 1,0.94,195.15,328.51,['aucun']
23.5,51.2,5.7,8.0,2170-10-12,Zone 3,0.58,199.02,72.89,['innondation']
23.9,60.9,3.6,4.3,2171-10-12,Zone 2,0.83,274.37,607.44,"['innondation', 'seisme']"
23.9,60.9,3.6,4.3,2171-10-12,Zone 3,0.46,119.82,644.67,['innondation']
13.8,81.2,4.6,6.9,2170-11-12,Zone 2,0.85,223.29,645.05,"['innondation', 'seisme']"
13.8,81.2,4.6,6.9,2170-11-12,Zone 3,0.34,143.0,440.55,['aucun']
23.0,63.2,5.6,16.7,2171-11-12,Zone 2,0.67,160.82,560.96,['innondation']
23.0,63.2,5.6,16.7,2171-11-12,Zone 3,0.45,155.99,522.95,['innondation']
10.9,80.9,3.8,3.3,2170-12-12,Zone 2,0.93,281.02,485.08,['innondation']
10.9,80.9,3.8,3.3,2170-12-12,Zone 3,0.49,110.85,159.29,['innondation']
10.7,69.4,6.6,19.8,2171-12-12,Zone 2,0.79,290.4,860.42,['seisme']
10.7,69.4,6.6,19.8,2171-12-12,Zone 1,0.54,216.1,196.85,['aucun']
10.7,69.4,6.6,19.8,2171-12-12,Zone 3,0.38,188.81,272.66,['innondation']
16.0,64.3,13.3,24.9,2170-02-12,Zone 2,0.56,235.8,325.43,['aucun']
16.0,64.3,13.3,24.9,2170-02-12,Zone 1,0.73,205.27,740.26,['seisme']
16.0,64.3,13.3,24.9,2170-02-12,Zone 3,0.58,168.33,104.73,['innondation']
13.3,52.3,7.4,16.5,2171-02-12,Zone 2,0.9,248.97,290.82,['aucun']
13.3,52.3,7.4,16.5,2171-02-12,Zone 1,0.91,236.15,417.82,['seisme']
13.3,52.3,7.4,16.5,2171-02-12,Zone 3,0.37,109.05,773.41,['aucun']
10.4,59.9,5.1,5.2,2170-03-12,Zone 2,0.74,215.76,634.07,"['innondation', 'seisme']"
10.4,59.9,5.1,5.2,2170-03-12,Zone 1,0.85,188.5,499.44,['aucun']
10.4,59.9,5.1,5.2,2170-03-12,Zone 3,0.34,109.7,335.33,['innondation']
14.7,77.7,8.4,14.7,2171-03-12,Zone 2,0.68,182.8,826.09,['aucun']
14.7,77.7,8.4,14.7,2171-03-12,Zone 1,0.65,177.17,781.01,['aucun']
14.7,77.7,8.4,14.7,2171-03-12,Zone 3,0.41,105.19,68.83,['innondation']
18.1,51.9,6.2,12.9,2170-04-12,Zone 2,0.53,150.45,780.03,['innondation']
18.1,51.9,6.2,12.9,2170-04-12,Zone 1,0.51,216.15,118.61,['aucun']
18.1,51.9,6.2,12.9,2170-04-12,Zone 3,0.39,140.91,906.67,['aucun']
21.4,63.3,12.9,34.6,2171-04-12,Zone 2,0.78,255.86,367.63,"['innondation', 'seisme']"
21.4,63.3,12.9,34.6,2171-04-12,Zone 1,0.76,206.77,21.88,['seisme']
21.4,63.3,12.9,34.6,2171-04-12,Zone 3,0.66,185.0,165.85,['aucun']
23.7,53.2,10.1,17.6,2170-05-12,Zone 2,0.89,252.7,956.84,"['innondation', 'seisme']"
23.7,53.2,10.1,17.6,2170-05-12,Zone 1,0.8,167.1,678.8,['aucun']
23.7,53.2,10.1,17.6,2170-05-12,Zone 3,0.32,180.13,645.43,['innondation']
28.2,55.7,4.8,9.9,2171-05-12,Zone 2,0.92,151.22,223.24,['innondation']
28.2,55.7,4.8,9.9,2171-05-12,Zone 1,0.84,170.12,411.81,['aucun']
28.2,55.7,4.8,9.9,2171-05-12,Zone 3,0.65,118.53,812.83,['innondation']
38.9,46.0,3.5,9.2,2170-06-12,Zone 2,0.66,255.02,660.56,"['innondation', 'seisme']"
38.9,46.0,3.5,9.2,2170-06-12,Zone 1,0.77,199.39,429.72,['aucun']
38.9,46.0,3.5,9.2,2170-06-12,Zone 3,0.32,165.72,296.98,['innondation']
36.0,40.1,4.5,9.0,2171-06-12,Zone 2,0.63,294.74,464.21,"['innondation', 'seisme']"
36.0,40.1,4.5,9.0,2171-06-12,Zone 1,0.68,154.03,34.85,['aucun']
36.0,40.1,4.5,9.0,2171-06-12,Zone 3,0.57,188.92,697.26,['innondation']
32.1,63.6,8.9,16.6,2170-07-12,Zone 2,0.56,250.94,695.66,['innondation']
32.1,63.6,8.9,16.6,2170-07-12,Zone 1,0.55,168.01,33.24,['aucun']
32.1,63.6,8.9,16.6,2170-07-12,Zone 3,0.63,100.87,957.68,['innondation']
39.0,28.6,1.4,0.5,2171-07-12,Zone 2,0.84,257.82,858.17,"['innondation', 'seisme']"
39.0,28.6,1.4,0.5,2171-07-12,Zone 1,0.6,246.28,142.28,['aucun']
39.0,28.6,1.4,0.5,2171-07-12,Zone 3,0.5,180.88,44.04,['innondation']
44.8,40.2,2.9,8.6,2171-08-12,Zone 2,0.77,250.86,173.9,['aucun']
44.8,40.2,2.9,8.6,2171-08-12,Zone 1,0.82,215.84,641.85,['seisme']
44.8,40.2,2.9,8.6,2171-08-12,Zone 3,0.45,122.68,88.54,['innondation']
37.8,54.1,3.0,8.8,2171-09-12,Zone 2,0.95,178.41,239.63,['innondation']
37.8,54.1,3.0,8.8,2171-09-12,Zone 1,0.8,178.85,665.87,['aucun']
37.8,54.1,3.0,8.8,2171-09-12,Zone 3,0.7,107.67,18.62,['innondation']
13.4,72.6,14.1,20.6,2170-01-13,Zone 2,0.81,276.91,17.9,"['innondation', 'seisme']"
13.4,72.6,14.1,20.6,2170-01-13,Zone 1,0.65,186.46,428.49,['aucun']
13.4,72.6,14.1,20.6,2170-01-13,Zone 3,0.65,133.56,890.15,['innondation']
7.0,74.6,4.0,5.2,2171-01-13,Zone 2,0.73,190.41,496.73,['innondation']
7.0,74.6,4.0,5.2,2171-01-13,Zone 1,0.88,238.7,510.67,['aucun']
7.0,74.6,4.0,5.2,2171-01-13,Zone 3,0.36,166.26,729.92,['innondation']
21.8,56.7,3.3,4.2,2170-10-13,Zone 2,0.5,180.33,571.04,['innondation']
21.8,56.7,3.3,4.2,2170-10-13,Zone 1,0.71,167.19,154.79,['aucun']
21.8,56.7,3.3,4.2,2170-10-13,Zone 3,0.68,133.0,176.9,['aucun']
25.9,60.5,4.5,7.3,2171-10-13,Zone 2,0.64,231.25,370.48,['seisme']
25.9,60.5,4.5,7.3,2171-10-13,Zone 1,0.86,274.7,124.44,['seisme']
25.9,60.5,4.5,7.3,2171-10-13,Zone 3,0.68,187.98,115.16,['innondation']
19.3,66.5,4.3,5.3,2170-11-13,Zone 2,0.8,230.3,391.42,"['innondation', 'seisme']"
19.3,66.5,4.3,5.3,2170-11-13,Zone 1,0.51,213.83,366.92,['aucun']
19.3,66.5,4.3,5.3,2170-11-13,Zone 3,0.36,175.46,478.14,['aucun']
22.8,58.7,3.8,8.0,2171-11-13,Zone 2,0.58,176.92,615.74,['innondation']
22.8,58.7,3.8,8.0,2171-11-13,Zone 1,0.67,253.85,135.87,['aucun']
22.8,58.7,3.8,8.0,2171-11-13,Zone 3,0.55,111.13,751.22,['aucun']
11.1,77.9,3.1,3.3,2170-12-13,Zone 2,0.74,248.64,326.4,['aucun']
11.1,77.9,3.1,3.3,2170-12-13,Zone 1,0.74,279.96,789.25,['seisme']
11.1,77.9,3.1,3.3,2170-12-13,Zone 3,0.68,104.19,221.27,['innondation']
14.1,72.8,6.1,13.2,2171-12-13,Zone 2,0.51,222.84,613.77,['aucun']
14.1,72.8,6.1,13.2,2171-12-13,Zone 1,0.52,170.04,384.52,['aucun']
14.1,72.8,6.1,13.2,2171-12-13,Zone 3,0.35,104.92,115.43,['innondation']
14.9,79.5,4.9,6.8,2170-02-13,Zone 2,0.85,221.84,56.65,['aucun']
14.9,79.5,4.9,6.8,2170-02-13,Zone 1,0.56,158.18,346.93,['aucun']
14.9,79.5,4.9,6.8,2170-02-13,Zone 3,0.46,102.53,558.45,['aucun']
21.8,60.8,7.3,22.6,2171-02-13,Zone 2,0.51,238.46,997.12,['innondation']
21.8,60.8,7.3,22.6,2171-02-13,Zone 1,0.73,275.62,466.46,['seisme']
21.8,60.8,7.3,22.6,2171-02-13,Zone 3,0.64,158.58,843.7,['innondation']
