,temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
21,14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 2,0.56,279.08,119.28,aucun
22,14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 3,0.67,208.53,135.14,['seisme']
23,14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 4,0.43,108.14,926.01,['innondation']
24,14.9,62.6,6.7,12.0,0.0,2170-11-01,Zone 5,0.4,180.77,689.96,['innondation']
25,26.1,58.8,4.6,6.0,0.0,2171-11-01,Zone 1,0.69,257.71,553.35,['seisme']
26,26.1,58.8,4.6,6.0,0.0,2171-11-01,Zone 2,0.85,230.16,672.8,['seisme']
27,26.1,58.8,4.6,6.0,0.0,2171-11-01,Zone 3,0.71,216.28,663.13,['seisme']
28,26.1,58.8,4.6,6.0,0.0,2171-11-01,Zone 4,0.41,101.68,380.26,aucun
29,26.1,58.8,4.6,6.0,0.0,2171-11-01,Zone 5,0.54,127.68,501.04,aucun
30,17.8,70.7,8.3,14.6,0.1,2170-12-01,Zone 1,0.53,168.85,128.15,aucun
"31,17.8,70.7,8.3,14.6,0.1,2170-12-01,Zone 2,0.69,224.49,876.05,""['innondation', 'seisme']"""
32,17.8,70.7,8.3,14.6,0.1,2170-12-01,Zone 3,0.55,285.63,107.67,aucun
33,17.8,70.7,8.3,14.6,0.1,2170-12-01,Zone 4,0.62,114.33,605.97,['innondation']
34,17.8,70.7,8.3,14.6,0.1,2170-12-01,Zone 5,0.49,138.51,36.53,['innondation']
35,11.9,66.1,4.5,8.2,0.0,2171-12-01,Zone 1,0.8,161.33,321.45,aucun
36,11.9,66.1,4.5,8.2,0.0,2171-12-01,Zone 2,0.71,172.46,207.55,aucun
37,11.9,66.1,4.5,8.2,0.0,2171-12-01,Zone 3,0.82,179.58,795.85,aucun
38,11.9,66.1,4.5,8.2,0.0,2171-12-01,Zone 4,0.7,141.32,994.76,['innondation']
39,11.9,66.1,4.5,8.2,0.0,2171-12-01,Zone 5,0.33,123.07,76.93,['innondation']
40,21.0,61.1,17.0,28.6,0.1,2170-02-01,Zone 1,0.86,278.75,74.58,aucun
"41,21.0,61.1,17.0,28.6,0.1,2170-02-01,Zone 2,0.78,273.85,650.6,""['innondation', 'seisme']"""
42,21.0,61.1,17.0,28.6,0.1,2170-02-01,Zone 3,0.76,156.4,34.32,aucun
43,21.0,61.1,17.0,28.6,0.1,2170-02-01,Zone 4,0.41,151.16,498.3,['innondation']
44,21.0,61.1,17.0,28.6,0.1,2170-02-01,Zone 5,0.57,169.22,561.59,['innondation']
45,11.6,67.1,13.1,21.1,0.0,2171-02-01,Zone 1,0.58,205.21,793.52,aucun
46,11.6,67.1,13.1,21.1,0.0,2171-02-01,Zone 2,0.81,211.04,591.95,aucun
47,11.6,67.1,13.1,21.1,0.0,2171-02-01,Zone 3,0.6,156.33,560.85,aucun
48,11.6,67.1,13.1,21.1,0.0,2171-02-01,Zone 4,0.6,129.39,218.6,['innondation']
49,11.6,67.1,13.1,21.1,0.0,2171-02-01,Zone 5,0.44,126.79,415.79,['innondation']
50,20.1,63.9,13.9,30.0,0.0,2170-03-01,Zone 1,0.91,297.92,526.23,['seisme']
51,20.1,63.9,13.9,30.0,0.0,2170-03-01,Zone 2,0.67,278.41,378.13,aucun
52,20.1,63.9,13.9,30.0,0.0,2170-03-01,Zone 3,0.84,238.09,373.95,['seisme']
53,20.1,63.9,13.9,30.0,0.0,2170-03-01,Zone 4,0.62,128.98,289.43,['innondation']
54,20.1,63.9,13.9,30.0,0.0,2170-03-01,Zone 5,0.68,136.43,513.82,['innondation']
55,21.3,51.0,9.3,20.3,0.0,2171-03-01,Zone 1,0.97,193.82,210.73,aucun
56,21.3,51.0,9.3,20.3,0.0,2171-03-01,Zone 2,0.63,187.54,31.42,aucun
57,21.3,51.0,9.3,20.3,0.0,2171-03-01,Zone 3,0.76,224.48,411.26,aucun
58,21.3,51.0,9.3,20.3,0.0,2171-03-01,Zone 4,0.56,186.21,809.82,['innondation']
59,21.3,51.0,9.3,20.3,0.0,2171-03-01,Zone 5,0.66,195.06,161.87,aucun
60,26.0,41.0,7.3,22.1,0.0,2170-04-01,Zone 1,0.6,278.82,267.69,aucun
61,26.0,41.0,7.3,22.1,0.0,2170-04-01,Zone 2,0.93,179.43,18.79,['innondation']
62,26.0,41.0,7.3,22.1,0.0,2170-04-01,Zone 3,1.0,241.61,0.71,['seisme']
63,26.0,41.0,7.3,22.1,0.0,2170-04-01,Zone 4,0.38,148.84,524.11,['innondation']
64,26.0,41.0,7.3,22.1,0.0,2170-04-01,Zone 5,0.66,172.55,893.32,aucun
65,8.8,57.5,14.3,30.8,0.0,2171-04-01,Zone 1,0.73,295.61,35.24,['seisme']
66,8.8,57.5,14.3,30.8,0.0,2171-04-01,Zone 2,0.98,161.41,699.64,['innondation']
67,8.8,57.5,14.3,30.8,0.0,2171-04-01,Zone 3,0.61,169.47,683.74,aucun
68,8.8,57.5,14.3,30.8,0.0,2171-04-01,Zone 4,0.65,107.74,798.98,aucun
69,8.8,57.5,14.3,30.8,0.0,2171-04-01,Zone 5,0.58,157.65,317.39,['innondation']
70,19.2,68.2,7.4,14.4,0.1,2170-05-01,Zone 1,0.85,156.78,109.61,aucun
71,19.2,68.2,7.4,14.4,0.1,2170-05-01,Zone 2,0.52,156.65,229.35,['innondation']
72,19.2,68.2,7.4,14.4,0.1,2170-05-01,Zone 3,0.94,200.52,254.95,aucun
73,19.2,68.2,7.4,14.4,0.1,2170-05-01,Zone 4,0.59,142.59,590.7,aucun
74,19.2,68.2,7.4,14.4,0.1,2170-05-01,Zone 5,0.68,184.55,846.31,['innondation']
75,23.6,56.4,6.0,9.7,0.0,2171-05-01,Zone 1,0.56,186.69,150.17,aucun
76,23.6,56.4,6.0,9.7,0.0,2171-05-01,Zone 2,0.53,241.04,649.54,['innondation']
77,23.6,56.4,6.0,9.7,0.0,2171-05-01,Zone 3,0.64,216.22,294.49,['seisme']
78,23.6,56.4,6.0,9.7,0.0,2171-05-01,Zone 4,0.65,137.07,503.6,['innondation']
79,23.6,56.4,6.0,9.7,0.0,2171-05-01,Zone 5,0.6,175.59,402.26,aucun
80,30.4,48.1,4.4,18.3,0.0,2170-06-01,Zone 1,0.88,233.2,721.29,['seisme']
"81,30.4,48.1,4.4,18.3,0.0,2170-06-01,Zone 2,0.95,243.81,838.15,""['innondation', 'seisme']"""
82,30.4,48.1,4.4,18.3,0.0,2170-06-01,Zone 3,0.61,278.58,781.49,['seisme']
83,30.4,48.1,4.4,18.3,0.0,2170-06-01,Zone 4,0.6,103.26,918.31,['innondation']
84,30.4,48.1,4.4,18.3,0.0,2170-06-01,Zone 5,0.37,107.38,796.22,['innondation']
85,35.2,36.5,2.8,9.4,0.0,2171-06-01,Zone 1,0.6,174.39,93.03,aucun
86,35.2,36.5,2.8,9.4,0.0,2171-06-01,Zone 2,0.72,212.31,234.98,aucun
87,35.2,36.5,2.8,9.4,0.0,2171-06-01,Zone 3,0.53,285.99,562.62,aucun
88,35.2,36.5,2.8,9.4,0.0,2171-06-01,Zone 4,0.36,136.58,319.46,aucun
89,35.2,36.5,2.8,9.4,0.0,2171-06-01,Zone 5,0.66,174.42,700.81,aucun
90,38.2,37.3,2.4,7.9,0.0,2170-07-01,Zone 1,0.99,281.67,188.49,['seisme']
91,38.2,37.3,2.4,7.9,0.0,2170-07-01,Zone 2,0.51,213.83,168.29,['innondation']
92,38.2,37.3,2.4,7.9,0.0,2170-07-01,Zone 3,0.82,191.08,498.32,aucun
93,38.2,37.3,2.4,7.9,0.0,2170-07-01,Zone 4,0.52,113.55,994.06,['innondation']
94,38.2,37.3,2.4,7.9,0.0,2170-07-01,Zone 5,0.61,162.76,929.16,aucun
95,31.3,36.0,3.0,8.0,0.0,2171-07-01,Zone 1,0.89,211.16,756.71,['seisme']
"96,31.3,36.0,3.0,8.0,0.0,2171-07-01,Zone 2,0.9,212.35,130.38,""['innondation', 'seisme']"""
97,31.3,36.0,3.0,8.0,0.0,2171-07-01,Zone 3,0.62,172.18,710.5,aucun
98,31.3,36.0,3.0,8.0,0.0,2171-07-01,Zone 4,0.51,197.15,402.24,aucun
99,31.3,36.0,3.0,8.0,0.0,2171-07-01,Zone 5,0.66,136.38,540.74,['innondation']
100,30.5,52.9,5.8,11.9,0.0,2170-08-01,Zone 1,0.59,285.21,603.98,aucun
101,30.5,52.9,5.8,11.9,0.0,2170-08-01,Zone 2,0.68,207.63,864.5,['seisme']
102,30.5,52.9,5.8,11.9,0.0,2170-08-01,Zone 3,0.65,213.17,618.76,['seisme']
103,30.5,52.9,5.8,11.9,0.0,2170-08-01,Zone 4,0.62,145.56,258.6,['innondation']
104,30.5,52.9,5.8,11.9,0.0,2170-08-01,Zone 5,0.48,117.72,617.35,['innondation']
105,38.8,30.8,4.5,10.5,0.0,2171-08-01,Zone 1,0.92,237.53,657.35,aucun
106,38.8,30.8,4.5,10.5,0.0,2171-08-01,Zone 2,0.56,235.04,140.65,['innondation']
107,38.8,30.8,4.5,10.5,0.0,2171-08-01,Zone 3,0.9,293.63,792.74,['seisme']
108,38.8,30.8,4.5,10.5,0.0,2171-08-01,Zone 4,0.65,192.87,637.69,['innondation']
109,38.8,30.8,4.5,10.5,0.0,2171-08-01,Zone 5,0.39,161.27,949.54,['innondation']
110,38.4,44.1,3.6,8.6,0.0,2171-09-01,Zone 1,0.53,195.8,397.31,aucun
111,38.4,44.1,3.6,8.6,0.0,2171-09-01,Zone 2,0.66,278.31,372.13,aucun
112,38.4,44.1,3.6,8.6,0.0,2171-09-01,Zone 3,0.54,176.4,306.25,aucun
113,38.4,44.1,3.6,8.6,0.0,2171-09-01,Zone 4,0.7,125.27,642.95,aucun
114,38.4,44.1,3.6,8.6,0.0,2171-09-01,Zone 5,0.42,117.66,968.12,['innondation']
115,10.9,67.6,5.8,8.7,0.0,2170-01-10,Zone 1,0.81,246.86,564.1,['seisme']
116,10.9,67.6,5.8,8.7,0.0,2170-01-10,Zone 2,0.97,175.68,788.14,['innondation']
117,10.9,67.6,5.8,8.7,0.0,2170-01-10,Zone 3,0.97,151.91,523.93,aucun
118,10.9,67.6,5.8,8.7,0.0,2170-01-10,Zone 4,0.58,162.13,95.15,['innondation']
119,10.9,67.6,5.8,8.7,0.0,2170-01-10,Zone 5,0.38,122.53,35.19,aucun
120,15.1,72.4,3.8,6.2,0.1,2171-01-10,Zone 1,0.63,170.28,234.08,aucun
"121,15.1,72.4,3.8,6.2,0.1,2171-01-10,Zone 2,0.74,251.25,508.86,""['innondation', 'seisme']"""
122,15.1,72.4,3.8,6.2,0.1,2171-01-10,Zone 3,0.66,180.66,174.02,aucun
123,15.1,72.4,3.8,6.2,0.1,2171-01-10,Zone 4,0.35,149.51,344.57,aucun
124,15.1,72.4,3.8,6.2,0.1,2171-01-10,Zone 5,0.61,126.5,352.66,['innondation']
125,25.1,65.4,3.8,5.4,0.0,2170-10-10,Zone 1,0.56,265.23,353.38,aucun
126,25.1,65.4,3.8,5.4,0.0,2170-10-10,Zone 2,0.97,216.97,24.95,aucun
127,25.1,65.4,3.8,5.4,0.0,2170-10-10,Zone 3,0.74,168.95,318.99,aucun
128,25.1,65.4,3.8,5.4,0.0,2170-10-10,Zone 4,0.48,139.53,963.05,aucun
129,25.1,65.4,3.8,5.4,0.0,2170-10-10,Zone 5,0.32,174.59,619.31,['innondation']
130,26.9,67.8,4.4,11.4,0.0,2171-10-10,Zone 1,0.56,219.88,746.49,aucun
"131,26.9,67.8,4.4,11.4,0.0,2171-10-10,Zone 2,0.7,226.45,794.82,""['innondation', 'seisme']"""
132,26.9,67.8,4.4,11.4,0.0,2171-10-10,Zone 3,0.88,172.46,174.69,aucun
133,26.9,67.8,4.4,11.4,0.0,2171-10-10,Zone 4,0.64,119.7,298.1,['innondation']
134,26.9,67.8,4.4,11.4,0.0,2171-10-10,Zone 5,0.35,113.01,597.67,['innondation']
135,9.7,76.4,2.9,3.2,0.0,2170-11-10,Zone 1,0.62,240.09,527.97,['seisme']
136,9.7,76.4,2.9,3.2,0.0,2170-11-10,Zone 2,0.74,169.88,307.59,aucun
137,9.7,76.4,2.9,3.2,0.0,2170-11-10,Zone 3,0.81,174.08,399.6,aucun
138,9.7,76.4,2.9,3.2,0.0,2170-11-10,Zone 4,0.34,195.95,670.43,['innondation']
139,9.7,76.4,2.9,3.2,0.0,2170-11-10,Zone 5,0.63,144.87,432.37,['innondation']
140,20.6,64.3,3.1,2.4,0.0,2171-11-10,Zone 1,0.89,240.61,685.55,['seisme']
141,20.6,64.3,3.1,2.4,0.0,2171-11-10,Zone 2,0.53,299.06,504.99,aucun
142,20.6,64.3,3.1,2.4,0.0,2171-11-10,Zone 3,0.76,165.75,163.66,aucun
143,20.6,64.3,3.1,2.4,0.0,2171-11-10,Zone 4,0.5,108.47,695.67,['innondation']
144,20.6,64.3,3.1,2.4,0.0,2171-11-10,Zone 5,0.43,164.19,21.97,['innondation']
145,11.5,75.9,13.4,23.7,0.1,2170-12-10,Zone 1,0.68,156.42,469.34,aucun
146,11.5,75.9,13.4,23.7,0.1,2170-12-10,Zone 2,0.76,229.78,194.39,aucun
147,11.5,75.9,13.4,23.7,0.1,2170-12-10,Zone 3,0.53,181.72,762.5,aucun
148,11.5,75.9,13.4,23.7,0.1,2170-12-10,Zone 4,0.34,167.93,256.51,['innondation']
149,11.5,75.9,13.4,23.7,0.1,2170-12-10,Zone 5,0.44,195.62,696.93,['innondation']
150,7.6,59.9,6.5,11.1,0.0,2171-12-10,Zone 1,0.69,280.05,60.43,aucun
"151,7.6,59.9,6.5,11.1,0.0,2171-12-10,Zone 2,0.72,241.66,887.1,""['innondation', 'seisme']"""
152,7.6,59.9,6.5,11.1,0.0,2171-12-10,Zone 3,0.94,292.94,637.81,['seisme']
153,7.6,59.9,6.5,11.1,0.0,2171-12-10,Zone 4,0.6,167.96,55.89,['innondation']
154,7.6,59.9,6.5,11.1,0.0,2171-12-10,Zone 5,0.51,190.47,832.48,['innondation']
155,12.8,66.3,11.0,16.9,0.0,2170-02-10,Zone 1,0.83,150.79,781.18,aucun
156,12.8,66.3,11.0,16.9,0.0,2170-02-10,Zone 2,0.81,183.65,219.02,['innondation']
157,12.8,66.3,11.0,16.9,0.0,2170-02-10,Zone 3,0.53,254.49,591.5,aucun
158,12.8,66.3,11.0,16.9,0.0,2170-02-10,Zone 4,0.58,171.6,659.51,['innondation']
159,12.8,66.3,11.0,16.9,0.0,2170-02-10,Zone 5,0.57,148.96,503.43,aucun
160,14.0,64.7,3.1,3.5,0.0,2171-02-10,Zone 1,0.87,288.7,751.78,['seisme']
161,14.0,64.7,3.1,3.5,0.0,2171-02-10,Zone 2,0.64,157.34,203.18,['innondation']
162,14.0,64.7,3.1,3.5,0.0,2171-02-10,Zone 3,0.69,277.96,644.89,['seisme']
163,14.0,64.7,3.1,3.5,0.0,2171-02-10,Zone 4,0.57,196.6,779.03,['innondation']
164,14.0,64.7,3.1,3.5,0.0,2171-02-10,Zone 5,0.49,145.25,9.13,['innondation']
165,15.7,56.2,3.2,4.1,0.0,2170-03-10,Zone 1,0.64,231.36,496.93,['seisme']
166,15.7,56.2,3.2,4.1,0.0,2170-03-10,Zone 2,1.0,152.92,228.0,['innondation']
167,15.7,56.2,3.2,4.1,0.0,2170-03-10,Zone 3,0.59,240.78,55.96,aucun
168,15.7,56.2,3.2,4.1,0.0,2170-03-10,Zone 4,0.36,124.0,183.29,aucun
169,15.7,56.2,3.2,4.1,0.0,2170-03-10,Zone 5,0.36,109.3,796.37,['innondation']
170,21.9,56.9,7.6,17.8,0.0,2171-03-10,Zone 1,0.73,192.54,643.56,aucun
"171,21.9,56.9,7.6,17.8,0.0,2171-03-10,Zone 2,0.72,270.43,238.41,""['innondation', 'seisme']"""
172,21.9,56.9,7.6,17.8,0.0,2171-03-10,Zone 3,1.0,191.53,660.78,aucun
173,21.9,56.9,7.6,17.8,0.0,2171-03-10,Zone 4,0.52,180.68,375.92,['innondation']
174,21.9,56.9,7.6,17.8,0.0,2171-03-10,Zone 5,0.44,143.66,846.76,['innondation']
175,19.6,57.2,8.3,21.6,0.0,2170-04-10,Zone 1,0.82,152.31,51.04,aucun
176,19.6,57.2,8.3,21.6,0.0,2170-04-10,Zone 2,0.65,237.45,831.52,aucun
177,19.6,57.2,8.3,21.6,0.0,2170-04-10,Zone 3,0.64,152.67,626.99,aucun
178,19.6,57.2,8.3,21.6,0.0,2170-04-10,Zone 4,0.68,171.93,404.84,['innondation']
179,19.6,57.2,8.3,21.6,0.0,2170-04-10,Zone 5,0.43,171.03,588.02,['innondation']
180,23.1,43.9,9.2,21.6,0.0,2171-04-10,Zone 1,0.84,285.93,282.9,['seisme']
181,23.1,43.9,9.2,21.6,0.0,2171-04-10,Zone 2,0.52,282.86,823.35,aucun
182,23.1,43.9,9.2,21.6,0.0,2171-04-10,Zone 3,0.71,203.75,403.51,['seisme']
183,23.1,43.9,9.2,21.6,0.0,2171-04-10,Zone 4,0.48,105.17,396.91,['innondation']
184,23.1,43.9,9.2,21.6,0.0,2171-04-10,Zone 5,0.66,182.81,460.08,aucun
185,21.9,56.3,6.2,9.7,0.0,2170-05-10,Zone 1,0.98,156.16,775.69,aucun
186,21.9,56.3,6.2,9.7,0.0,2170-05-10,Zone 2,0.78,183.22,851.89,aucun
187,21.9,56.3,6.2,9.7,0.0,2170-05-10,Zone 3,1.0,288.5,249.25,['seisme']
188,21.9,56.3,6.2,9.7,0.0,2170-05-10,Zone 4,0.43,163.75,31.69,['innondation']
189,21.9,56.3,6.2,9.7,0.0,2170-05-10,Zone 5,0.4,123.55,6.39,['innondation']
190,29.6,49.4,4.0,6.3,0.0,2171-05-10,Zone 1,0.72,231.43,748.79,['seisme']
191,29.6,49.4,4.0,6.3,0.0,2171-05-10,Zone 2,0.71,175.79,177.22,['innondation']
192,29.6,49.4,4.0,6.3,0.0,2171-05-10,Zone 3,0.66,246.5,657.77,aucun
193,29.6,49.4,4.0,6.3,0.0,2171-05-10,Zone 4,0.52,148.22,667.33,['innondation']
194,29.6,49.4,4.0,6.3,0.0,2171-05-10,Zone 5,0.54,170.19,151.76,['innondation']
195,35.8,40.9,3.2,9.6,0.0,2170-06-10,Zone 1,0.51,188.33,367.75,aucun
"196,35.8,40.9,3.2,9.6,0.0,2170-06-10,Zone 2,0.9,267.67,309.28,""['innondation', 'seisme']"""
197,35.8,40.9,3.2,9.6,0.0,2170-06-10,Zone 3,0.96,194.49,388.56,aucun
198,35.8,40.9,3.2,9.6,0.0,2170-06-10,Zone 4,0.45,192.24,454.63,['innondation']
199,35.8,40.9,3.2,9.6,0.0,2170-06-10,Zone 5,0.41,189.5,854.12,aucun
200,34.9,37.0,2.9,6.6,0.0,2171-06-10,Zone 1,0.51,242.76,361.67,aucun
"201,34.9,37.0,2.9,6.6,0.0,2171-06-10,Zone 2,0.75,211.08,145.12,""['innondation', 'seisme']"""
202,34.9,37.0,2.9,6.6,0.0,2171-06-10,Zone 3,0.85,150.16,157.76,aucun
203,34.9,37.0,2.9,6.6,0.0,2171-06-10,Zone 4,0.31,165.87,546.28,['innondation']
204,34.9,37.0,2.9,6.6,0.0,2171-06-10,Zone 5,0.43,163.58,666.93,['innondation']
205,32.1,44.3,6.6,11.5,0.0,2170-07-10,Zone 1,0.63,297.16,45.55,['seisme']
206,32.1,44.3,6.6,11.5,0.0,2170-07-10,Zone 2,0.73,153.15,776.89,['innondation']
207,32.1,44.3,6.6,11.5,0.0,2170-07-10,Zone 3,0.79,282.53,523.0,aucun
208,32.1,44.3,6.6,11.5,0.0,2170-07-10,Zone 4,0.64,109.75,92.52,['innondation']
209,32.1,44.3,6.6,11.5,0.0,2170-07-10,Zone 5,0.39,129.46,989.91,['innondation']
210,40.0,31.6,2.5,6.6,0.0,2171-07-10,Zone 1,0.58,246.04,350.52,aucun
211,40.0,31.6,2.5,6.6,0.0,2171-07-10,Zone 2,0.93,192.75,875.49,['innondation']
212,40.0,31.6,2.5,6.6,0.0,2171-07-10,Zone 3,0.53,151.85,314.73,aucun
213,40.0,31.6,2.5,6.6,0.0,2171-07-10,Zone 4,0.45,122.78,165.9,aucun
214,40.0,31.6,2.5,6.6,0.0,2171-07-10,Zone 5,0.62,127.74,39.16,['innondation']
215,46.3,21.4,3.8,10.3,0.0,2171-08-10,Zone 1,0.78,156.51,104.5,aucun
"216,46.3,21.4,3.8,10.3,0.0,2171-08-10,Zone 2,0.63,226.81,590.88,""['innondation', 'seisme']"""
217,46.3,21.4,3.8,10.3,0.0,2171-08-10,Zone 3,0.91,157.17,653.76,aucun
218,46.3,21.4,3.8,10.3,0.0,2171-08-10,Zone 4,0.39,115.98,400.7,['innondation']
219,46.3,21.4,3.8,10.3,0.0,2171-08-10,Zone 5,0.34,133.5,857.68,['innondation']
220,36.0,49.9,2.8,5.3,0.0,2171-09-10,Zone 1,0.55,225.77,479.68,aucun
221,36.0,49.9,2.8,5.3,0.0,2171-09-10,Zone 2,0.76,153.73,423.28,['innondation']
222,36.0,49.9,2.8,5.3,0.0,2171-09-10,Zone 3,0.53,158.25,114.7,aucun
223,36.0,49.9,2.8,5.3,0.0,2171-09-10,Zone 4,0.57,141.0,687.24,['innondation']
224,36.0,49.9,2.8,5.3,0.0,2171-09-10,Zone 5,0.63,125.61,392.21,['innondation']
225,6.4,69.4,7.3,12.9,0.0,2170-01-11,Zone 1,0.72,269.53,385.91,aucun
226,6.4,69.4,7.3,12.9,0.0,2170-01-11,Zone 2,0.85,151.32,112.31,aucun
227,6.4,69.4,7.3,12.9,0.0,2170-01-11,Zone 3,0.96,298.06,162.92,['seisme']
228,6.4,69.4,7.3,12.9,0.0,2170-01-11,Zone 4,0.49,153.48,467.47,['innondation']
229,6.4,69.4,7.3,12.9,0.0,2170-01-11,Zone 5,0.37,109.78,229.14,aucun
230,13.7,60.2,7.8,10.8,0.0,2171-01-11,Zone 1,0.79,180.49,379.13,aucun
231,13.7,60.2,7.8,10.8,0.0,2171-01-11,Zone 2,0.63,178.72,630.39,['innondation']
232,13.7,60.2,7.8,10.8,0.0,2171-01-11,Zone 3,0.99,272.34,550.24,['seisme']
233,13.7,60.2,7.8,10.8,0.0,2171-01-11,Zone 4,0.46,155.85,651.47,['innondation']
234,13.7,60.2,7.8,10.8,0.0,2171-01-11,Zone 5,0.31,192.23,448.38,['innondation']
235,19.0,58.7,3.6,5.6,0.0,2170-10-11,Zone 1,0.88,189.34,445.19,aucun
236,19.0,58.7,3.6,5.6,0.0,2170-10-11,Zone 2,0.94,294.85,384.25,aucun
237,19.0,58.7,3.6,5.6,0.0,2170-10-11,Zone 3,0.62,295.52,392.09,['seisme']
238,19.0,58.7,3.6,5.6,0.0,2170-10-11,Zone 4,0.59,104.21,682.07,['innondation']
239,19.0,58.7,3.6,5.6,0.0,2170-10-11,Zone 5,0.67,124.21,308.78,['innondation']
240,25.6,64.2,2.9,3.2,0.0,2171-10-11,Zone 1,0.69,220.32,521.71,['seisme']
241,25.6,64.2,2.9,3.2,0.0,2171-10-11,Zone 2,0.76,164.16,940.24,aucun
242,25.6,64.2,2.9,3.2,0.0,2171-10-11,Zone 3,0.63,193.93,7.67,aucun
243,25.6,64.2,2.9,3.2,0.0,2171-10-11,Zone 4,0.5,170.47,386.41,aucun
244,25.6,64.2,2.9,3.2,0.0,2171-10-11,Zone 5,0.31,130.94,872.78,['innondation']
245,19.2,76.1,2.6,2.8,0.0,2170-11-11,Zone 1,0.67,269.44,453.4,['seisme']
"246,19.2,76.1,2.6,2.8,0.0,2170-11-11,Zone 2,0.75,263.04,291.45,""['innondation', 'seisme']"""
247,19.2,76.1,2.6,2.8,0.0,2170-11-11,Zone 3,0.83,241.75,397.04,['seisme']
248,19.2,76.1,2.6,2.8,0.0,2170-11-11,Zone 4,0.52,193.65,821.54,aucun
249,19.2,76.1,2.6,2.8,0.0,2170-11-11,Zone 5,0.56,142.31,604.27,['innondation']
250,25.8,67.0,6.3,20.7,0.0,2171-11-11,Zone 1,0.58,248.55,524.68,aucun
"251,25.8,67.0,6.3,20.7,0.0,2171-11-11,Zone 2,0.71,290.04,305.56,""['innondation', 'seisme']"""
252,25.8,67.0,6.3,20.7,0.0,2171-11-11,Zone 3,0.76,161.52,671.2,aucun
253,25.8,67.0,6.3,20.7,0.0,2171-11-11,Zone 4,0.42,198.8,661.41,['innondation']
254,25.8,67.0,6.3,20.7,0.0,2171-11-11,Zone 5,0.64,155.56,859.15,['innondation']
255,13.0,64.9,3.1,3.1,0.0,2170-12-11,Zone 1,0.56,169.17,157.65,aucun
256,13.0,64.9,3.1,3.1,0.0,2170-12-11,Zone 2,0.76,262.11,273.11,['seisme']
257,13.0,64.9,3.1,3.1,0.0,2170-12-11,Zone 3,0.88,153.54,9.43,aucun
258,13.0,64.9,3.1,3.1,0.0,2170-12-11,Zone 4,0.65,129.17,526.96,['innondation']
259,13.0,64.9,3.1,3.1,0.0,2170-12-11,Zone 5,0.62,134.96,933.92,['innondation']
260,5.4,60.7,3.2,2.5,0.0,2171-12-11,Zone 1,0.51,258.38,470.63,aucun
"261,5.4,60.7,3.2,2.5,0.0,2171-12-11,Zone 2,0.7,286.98,262.25,""['innondation', 'seisme']"""
